CGDID,TTGDID,CPTID,easting__N,northing__,Investigat,Investig_1,Reference,PreDrill_D,Depth_of_T,Groundwate,Measured_D,ConeID,Known_Issu,Post_Groun,obs_class
25067,25067,21401,1571680.128,5182767.593,CPT,,"12262 - 1-117 Warrington Street, Christchurch",0.5,15,1,1.3,I-CFXYP20-10/ 120523T,,0,2
12110,12110,10616,1571680.396,5181066.442,CPT,,CCC-POD04-CPT002,0,20,0,0,4496,,0,2
55603,56089,49241,1571684,5182642,CPT,,33801,0,20.177,0,0,1701-2522,,0,2
4739,4739,3606,1571690.05,5182547.949,CPT,,STA-POD16-CPT015,0,20,0,0,C10CIIP.C1237,,0,2
19469,19469,15604,1571694.294,5182001.12,CPT,,STA-POD19-CPT023,0,10.04,0,0,4341,,0,2
9745,9745,38881,1571696.911,5183152.255,CPT,,STA-POD12-CPT003,0,20.1,0,0,4483,,0,2
38563,41760,36395,1571698.544,5182069.026,CPT,,CPT1 - 242 Edgeware Road,0,20.2,1,1.1,C10CF11P.C12359,,0,2
15248,15248,12163,1571699.97,5182787.046,CPT,,STA-POD11-CPT020,0,10,0,0,4473,,0,2
15250,15250,12166,1571700.046,5182916.267,CPT,,STA-POD12-CPT013,0,10,0,0,4473,,0,2
4601,4601,3459,1571704.061,5182668.642,CPT,,STA-POD16-CPT019,0,20.14,0,0,4221 100KN,,0,2
25479,25479,18679,1571704.29,5182260.98,CPT,,GA_SCP_15764,0,20.04,1,0.68,MHJ272,,0,2
25480,25480,18680,1571704.42,5182286.92,CPT,,GA_SCP_12579,0,20,1,0.86,MHJ272,,0,2
30760,31330,28407,1571706.04,5182286.38,CPT,,GA_18968,0,19.6,1,0.76,3726,,0,2
57069,57370,50024,1571709.153,5181485.69,CPT,,CPT001,0,4.51,0,0,S10CFIIP.S12377,,0,2
33244,34358,29985,1571709.7,5183306.4,CPT,,CPTu004,0,23.84,0,0,4483,,0,2
55602,56088,49240,1571710,5182625,CPT,,33801,0,19.98,1,1.9,1701-2522,,0,2
6669,6669,5661,1571710.201,5182576.868,CPT,,STA-POD16-CPT016,0,20.04,0,0,4045,,0,2
33241,34314,29946,1571713.1,5183353.6,CPT,,CPTu001,0,25.34,0,0,4483,,0,2
4954,4954,3820,1571722.682,5183141.51,CPT,,STA-POD12-CPT004,0,20,0,0,4494,,0,2
31236,31949,28908,1571723.54,5183179.623,CPT,,11794_089-CPT1,0,20.09,0,0,S10CFIIP.S12316,,0,2
4951,4951,3819,1571724.67,5183182.374,CPT,,STA-POD12-CPT005,0,20,0,0,4494,,0,2
48848,49822,45058,1571728.175,5181692.212,CPT,,CPT 1 - 40a & 38b Gresford Street,0,20,0,0,MKJ354,,0,2
9755,9755,38883,1571728.91,5181635.793,CPT,,STA-POD19-CPT009,0,20.26,0,0,4483,,0,2
4686,4686,3549,1571730.11,5181624.147,CPT,,STA-POD19-CPT008,0,20,0,0,4486,,0,2
57070,57371,50025,1571734.142,5181499.685,CPT,,CPT002,0,8.28,0,0,S15CFIIP.S12303,,0,2
33245,34359,29986,1571735.4,5183282.7,CPT,,CPTu005,0,20.78,0,0,4483,,0,2
44904,44385,43348,1571738.815,5182641.711,CPT,,11794_653-CPT1,0,20.28,0,0,S15CFIIP.S12303,,0,2
13888,13888,11131,1571739.239,5183021.761,CPT,,60265797/1.01-CPT01,0,15,0,0,4485,,0,2
31235,31948,28907,1571740.233,5183170.142,CPT,,11794_089-CPT3,0,20.27,0,0,S10CFIIP.S12316,,0,2
4738,4738,3605,1571740.238,5182657.018,CPT,,STA-POD16-CPT018,0,20,0,0,C10CIIP.C1237,,0,2
38846,42126,36742,1571740.39,5182670.816,CPT,,11794_693-CPT1,0,20.04,0,0,S10CFIIP.S12377,,0,2
44037,43456,42658,1571743.242,5183396.717,CPT,,CPT1 - 19 FERNBROOK PLACE,0,20.2,1,1,C10CF11P.C12359,,0,2
13889,13889,11132,1571747.37,5183010.689,CPT,,60265797/1.01-CPT02,0,15,0,0,4485,,0,2
11664,11664,10418,1571747.695,5181576.596,CPT,,STA-POD19-CPT010,0.14,3.48,0,0,4215 50KN,,0,2
13746,13746,11023,1571747.695,5181576.596,CPT,,STA-POD19-CPT010(b),12.5,20,0,0,C10CFIIP.C11284,,0,2
44905,44386,43349,1571749.19,5182634.869,CPT,,11794_653-CPT2,0,20.12,0,0,S15CFIIP.S12303,,0,2
38844,42124,36740,1571751.255,5182662.865,CPT,,11794_693-CPT2,0,20.09,0,0,S10CFIIP.S12377,,0,2
14682,14682,38998,1571751.724,5183375.99,CPT,,STA-POD12-CPT019,0,10.02,0,0,4447,,0,2
44906,44387,43350,1571762.416,5182642.255,CPT,,11794_653-CPT3,0,20.19,0,0,S15CFIIP.S12303,,0,2
38845,42125,36741,1571763.435,5182669.136,CPT,,11794_693-CPT3,0,17.69,0,0,S10CFIIP.S12377,,0,2
33242,34315,29947,1571764.3,5183354.4,CPT,,CPTu002,0,25.34,0,0,4483,,0,2
9262,9262,8472,1571766.158,5182285.702,CPT,,STA-POD16-CPT009,0,20.03,0,0,C10CFIIP.C10267,,0,2
44038,43457,42659,1571766.195,5183398.369,CPT,,CPT2 - 19 FERNBROOK PLACE,0,20.4,1,1,C10CF11P.C12359,,0,2
15249,15249,39014,1571766.257,5183043.529,CPT,,STA-POD12-CPT011,0,20.02,0,0,4483,,0,2
33243,34357,29984,1571768.9,5183287.8,CPT,,CPTu002,0,24.26,0,0,4483,,0,2
18827,18827,15058,1571789.492,5182916.699,CPT,,STA-POD12-CPT020,0,20,0,0,4600,,0,2
50676,51756,46067,1571795.27,5183303.39,CPT,,GA_20029,0.1,20.1,1,0.3,4633,,0,2
4716,4716,3579,1571799.475,5183035.003,CPT,,STA-POD12-CPT006,0,20,0,0,4486,,0,2
4353,4353,3231,1571801.308,5182131.622,CPT,,STA-POD16-CPT004,0.2,20,0,0,C10CFIIP.C10204,,0,2
7659,7659,6688,1571803.243,5183415.386,CPT,,STA-POD12-CPT007,0,20,0,0,4520,,0,2
34512,37697,33129,1571807.011,5182147.002,CPT,,11860-235_CPT2,0,20.2,0,0,C10CFIIP.C13080,,0,2
40527,42871,37544,1571809.257,5182035.395,CPT,,11794_400-CPT3,0,20.3,0,0,C10CFIIP.C13050,,0,2
34513,37698,33130,1571809.702,5182122.135,CPT,,11860-235_CPT1,0,20.24,0,0,C10CFIIP.C13080,,0,2
4714,4714,3576,1571809.939,5183488.398,CPT,,STA-POD12-CPT008,0,20,0,0,4486,,0,2
49971,50949,45614,1571812.15,5181634.479,CPT,,12202-078_CPT2,0,6.850062,0,0,C10CFIIP.C13050,,0,2
40529,42872,37545,1571812.277,5182047.736,CPT,,11794_400-CPT4,0,20.22,0,0,C10CFIIP.C13050,,0,2
4711,4711,3574,1571817.356,5183501.434,CPT,,STA-POD12-CPT009,0,20,0,0,4486,,0,2
27019,27019,19783,1571820.569,5181708.259,CPT,,CPT01,0,20.02,0,0,S10CFIIP.S12142,,0,2
15251,15251,12167,1571824.823,5183109.345,CPT,,STA-POD12-CPT021,0,10,0,0,C10CFIIP.C10204,,0,2
40531,42910,37583,1571824.967,5182047.567,CPT,,11794_400-CPT2,0,20.14,0,0,C10CFIIP.C13050,,0,2
29014,25219,18548,1571825.042,5183927.749,CPT,,CPT03,0,6.82,1,0.68,4520,,0,2
49996,51859,45945,1571826.37,5181466.12,CPT,,CPT14498-3,0,20.10036,0,0,GC10CFIIP.C13184,,0,2
27021,27021,19784,1571828.735,5181726.84,CPT,,CPT02,0,20.12,0,0,S10CFIIP.S12142,,0,2
49970,50948,45613,1571830.605,5181627.782,CPT,,12202-078_CPT1,0,8.640102,0,0,C10CFIIP.C13050,,0,2
6894,6894,51334,1571830.814,5181871.074,CPT,,STA-POD19-CPT006,0,20.2,0,0,4045,,0,2
40526,42870,37543,1571830.83,5182037.152,CPT,,11794_400-CPT1,0,20.08,0,0,C10CFIIP.C13050,,0,2
787,787,789,1571837.521,5181750.524,CPT,,CPT-STA-73,1.2,13.64,1,1.3,4341,,0,2
2940,2940,2493,1571844.159,5181518.561,CPT,,RCH-POD03-CPT123,0,20.02,0,0,4221 100KN,,0,2
16827,16827,13688,1571848.737,5183357.28,CPT,,SHY-POD05-CPT205,0,10,0,0,4439,,0,2
25484,25484,18684,1571850.27,5183176.66,CPT,,GA_SCP_12194,0,19.36,1,1.56,4644,,0,2
49994,51857,45943,1571853.45,5181501.05,CPT,,CPT14498-1,0,20.10036,0,0,GC10CFIIP.C13184,,0,2
14097,14097,11210,1571853.61,5183155.508,CPT,,SHY-POD05-CPTB004,0,21,0,0,C10CFIIP.C12252,,0,2
3776,3776,2700,1571854.47,5183157.657,CPT,,SHY-POD05-CPT016,0,20.09,0,0,4553,,0,2
34527,37700,33132,1571856.077,5182493.938,CPT,,11860-236_CPT2,0,20.02,0,0,C10CFIIP.C10268,,0,2
4388,4388,3259,1571856.154,5183041.219,CPT,,CPT1,0,15,0,0,4439,,0,2
34528,37701,33133,1571858.636,5182481.287,CPT,,11860-236_CPT3,0,20.11,0,0,C10CFIIP.C10268,,0,2
35281,37793,33244,1571858.923,5180983.306,CPT,,CPT01,0,20.05,0,0,4473,,0,2
49995,51858,45944,1571860.53,5181465.9,CPT,,CPT14498-2,0,6.77006,0,0,GC10CFIIP.C13184,,0,2
46129,45541,43728,1571864.325,5181662.352,CPT,,11794_844-CPT2,0,6.36,0,0,C10CFIIP.C12163,,0,2
34526,37699,33131,1571866.091,5182496.201,CPT,,11860-236_CPT1,0,20.2,0,0,C10CFIIP.C10268,,0,2
46982,45787,44002,1571868.01,5180954.88,CPT,,CPT001,0,20.22,1,2.3,110542,,0,2
46985,45788,44003,1571868.35,5180935.17,CPT,,CPT002,0,18.05,1,2.7,110542,,0,2
29015,25221,18549,1571869.026,5183906.759,CPT,,CPT04,0,5.92,1,0.99,4592,,0,2
34529,37702,33134,1571870.136,5182476.116,CPT,,11860-236_CPT4,0,20.09,0,0,C10CFIIP.C10268,,0,2
25485,25485,18685,1571874.72,5183177.39,CPT,,GA_SCP_14315,0,20,1,1.73,4644,,0,2
55754,56176,49260,1571879.184,5180989.869,CPT,,11794-049 CPT2,0,19.88,0,0,MKJ167,,0,2
55753,56175,49259,1571885.279,5180981.788,CPT,,11794-049 CPT1,0,6.19,0,0,MKJ167,,0,2
55756,56178,49262,1571885.628,5181014.33,CPT,,11794-049 CPT4,0,7.54,0,0,MKJ167,,0,2
55755,56177,49261,1571885.759,5181002.225,CPT,,11794-049 CPT3,0,6.83,0,0,MKJ167,,0,2
46128,45540,43727,1571886.059,5181664.109,CPT,,11794_844-CPT1,0,8.52,0,0,C10CFIIP.C12163,,0,2
4389,4389,3260,1571887.143,5183039.966,CPT,,CPT2,0,15,0,0,4439,,0,2
21230,21230,16735,1571890.676,5181664.966,CPT,,RCH-POD03-CPT132,0,5.58,1,1,C10CFIIP.C10268,,0,2
29017,25223,18551,1571892.017,5183881.769,CPT,,CPT06,0,6.16,1,1.01,4592,,0,2
55330,55889,49190,1571893.051,5181730.413,CPT,,CPT001,0,10.38,0,0,MKJ365,,0,2
2913,2913,2456,1571895.844,5180981.541,CPT,,RCH-POD01-CPT006,0,20.04,0,0,4221 100KN,,0,2
