FID,CPT,predrill (m),L (m),Depth of Test (m),GWT (m),PGA (g),Lat,Long,CH_EW_RMSE,CH_NS_RMSE,CH_APL_mod (m),Rrup,CH_APL,Elevation (m),Slope_5m (%),River_Dir (deg)
2083,2151,0,417.8635432,24.9,2.47351,0.44,-43.495226,172.707483,-0.225215,-0.126224,0.25817493,4.455268953,0.25817493,4.24811,0.31339,272.28768
2017,2152,0,278.634989,24.9,2.21338,0.44,-43.494322,172.70584,-0.374601,0.073528,0.38174897,4.611491987,0.38174897,3.53341,0.68562,283.63055
2022,2153,0,301.5529574,24.9,2.06997,0.44,-43.494768,172.70606,-0.333832,-0.015287,0.334181832,4.562395922,0.334181832,3.42272,0.93577,273.62571
2027,2154,0,319.5472438,11.5,1.68238,0.44,-43.49556,172.706226,-0.376188,-0.119246,0.3946353,4.479996988,0.3946353,3.11522,0.74947,275.38151
2021,2155,0,304.2547987,23.9,1.75548,0.44,-43.495501,172.706044,-0.353169,-0.257784,0.437242419,4.491828983,0.437242419,3.11304,0.9114,275.36537
2152,2165,0,484.1609252,23.6,1.40155,0.46,-43.498461,172.708945,-0.746276,-0.421185,0.85692746,4.105640922,0.85692746,3.09987,0.12352,215.79172
2149,2166,0,434.0343974,24.9,1.39959,0.46,-43.498978,172.708868,-0.741118,-0.476397,0.881027804,4.057092676,0.881027804,2.87548,0.20192,215.75886
2143,2167,0,395.2627438,24.9,1.32014,0.46,-43.499379,172.708807,-0.807264,-0.43249,0.915818086,4.019647819,0.915818086,2.83844,0.38453,216.98066
2133,2168,0,345.5581806,22.9,1.16805,0.46,-43.499905,172.708731,-0.842257,-0.470676,0.964848564,3.97063071,0.964848564,2.73867,0.72474,218.37231
2157,2169,0,483.6213707,24.9,1.55172,0.46,-43.497804,172.709047,-0.343473,-0.239564,0.418765581,4.158219935,0.418765581,3.37957,0.81408,275.33855
2161,2170,0,485.4200436,24.9,1.70946,0.45,-43.497507,172.709094,-0.494889,-0.349703,0.605976328,4.181519395,0.605976328,3.42338,0.0549,271.41765
2175,2171,0,516.1468753,24.9,1.73184,0.45,-43.496221,172.709274,-0.584041,-0.392258,0.703541206,4.285000992,0.703541206,3.64857,0.27154,255.30481
2074,2172,0,358.9749192,24.9,2.19613,0.45,-43.49636,172.707304,-0.283343,-0.114565,0.30562787,4.36566026,0.30562787,3.79905,0.64315,251.32601
2777,2176,0,183.227014,24.9,1.76968,0.5,-43.505656,172.7176,0.262829,-0.683547,0.732335705,3.086988059,0.732335705,2.27662,0.11128,201.33161
2664,2178,0,178.7373675,25,1.46375,0.49,-43.505183,172.715664,0.089567,-0.511917,0.519693431,3.21806548,0.519693431,1.93397,0.41597,190.66502
2740,2179,0,172.3404434,24.9,1.81237,0.49,-43.505633,172.717149,0.119281,-0.657746,0.668474201,3.10994547,0.668474201,2.20491,0.07664,200.62932
2756,2180,0,237.7873307,24.9,1.90636,0.49,-43.505048,172.717316,0.291237,-0.750772,0.80528106,3.151425586,0.80528106,2.44579,0.91989,200.75036
2665,2181,0,209.5519229,24.9,1.52327,0.49,-43.504904,172.715687,0.116382,-0.554909,0.566982159,3.24004187,0.566982159,1.96524,0.55072,189.56681
2671,2183,0,416.1997827,25,1.47618,0.48,-43.50292,172.715767,-0.047271,-0.643097,0.644831993,3.404214739,0.644831993,2.4212,0.26147,201.96358
2755,2184,0,224.0584761,24.9,1.86112,0.49,-43.505178,172.717309,0.263978,-0.711302,0.758706083,3.140743895,0.758706083,2.38035,0.2461,200.6655
2768,2185,0,310.130959,24.9,2.31637,0.49,-43.5044,172.717495,0.362658,-0.663125,0.755814521,3.198624175,0.755814521,2.65795,0.50321,200.71703
2764,2186,0,272.3521775,24.9,2.03118,0.49,-43.504751,172.717447,0.347198,-0.757595,0.833364647,3.170708917,0.833364647,2.46995,0.5199,200.7771
2717,2199,0,125.0427938,24.9,1.81673,0.49,-43.505955,172.716671,0.076856,-0.481819,0.487910231,3.105911914,0.487910231,2.18139,0.22453,200.93287
2830,2200,0,140.9199025,24.9,1.48533,0.5,-43.506443,172.719139,0.007607,-0.299282,0.29937866,2.950216677,0.29937866,1.88148,0.26219,200.22654
2018,2242,0,284.9745087,24.9,2.19067,0.44,-43.494497,172.705879,-0.348486,0.028378,0.349639533,4.594475746,0.349639533,3.58284,0.62948,273.62663
2033,2245,0,320.0264448,24.9,1.76855,0.44,-43.495232,172.706271,-0.328808,-0.038644,0.331071079,4.510897575,0.331071079,3.18753,0.3698,272.39871
2681,2290,0,407.1237573,24.9,1.56582,0.48,-43.503037,172.71586,-0.178339,-0.952911,0.969455606,3.389900331,0.969455606,2.53461,1.0186,203.62634
2655,2291,0,293.5391569,25,1.64371,0.49,-43.504071,172.715567,0.122578,-0.582471,0.595229226,3.315392812,0.595229226,2.24777,0.72666,208.4689
2793,2292,0,551.2732731,24.9,2.37187,0.49,-43.502172,172.717842,0.222375,-0.123224,0.25423374,3.379284574,0.25423374,3.2212,1.06585,200.80956
2274,2295,0,273.8121317,21.9,1.57421,0.47,-43.501524,172.710046,0.264859,-0.152117,0.305433907,3.769292798,0.305433907,2.62172,0.36382,227.76296
2042,2310,0,322.5701341,19.9,2.1851,0.44,-43.494152,172.70644,-0.388975,0.001832,0.388979314,4.597940237,0.388979314,3.87218,0.34409,278.49333
2106,2311,0,433.8787813,20,2.14403,0.45,-43.49652,172.708326,-0.331884,-0.313635,0.456633226,4.303140927,0.456633226,4.03852,0.21525,257.02105
2096,2312,0,417.556387,20,2.18407,0.45,-43.496127,172.70796,-0.274284,-0.198669,0.338675485,4.354480073,0.338675485,4.24834,0.21041,250.27491
2127,2336,0,322.9732349,20,1.19005,0.46,-43.500089,172.7086,-0.771269,-0.513435,0.926537301,3.957030059,0.926537301,2.90496,0.54965,218.28228
2141,2337,0,449.3994628,20.1,1.44685,0.46,-43.498762,172.708782,-0.645944,-0.501107,0.817527906,4.081133033,0.817527906,3.30065,0.28056,215.79738
2182,2338,0,408.6398383,20,1.73294,0.46,-43.499524,172.709326,-0.751826,-0.376827,0.840976172,3.988642066,0.840976172,3.4479,0.16855,218.26619
2154,2339,0,382.3481365,20,1.45121,0.46,-43.499622,172.708973,-0.917807,-0.388016,0.996456776,3.990398282,0.996456776,2.99604,0.82089,218.33253
2139,2340,0,463.2952709,20,1.47189,0.46,-43.498605,172.708777,-0.60711,-0.482234,0.775327146,4.096771059,0.775327146,3.29436,0.53064,215.84218
2134,2341,0,407.6261122,20,1.37072,0.46,-43.499203,172.708737,-0.725759,-0.470333,0.864834815,4.039205394,0.864834815,3.17742,0.25383,215.77108
2351,2342,0,309.0592315,19.9,2.25869,0.47,-43.501797,172.711049,-0.356899,-0.082505,0.366311304,3.71047613,0.366311304,3.30446,0.86074,224.95642
2297,2346,0,356.1532842,20,1.57569,0.47,-43.500665,172.710273,-0.570997,-0.309537,0.649500368,3.84622349,0.649500368,2.92379,0.39205,218.29527
2348,2347,0,514.6189121,19.9,1.7518,0.46,-43.499281,172.710993,-0.456897,-0.346287,0.573297091,3.938981562,0.573297091,3.38771,0.31872,220.59637
2328,2348,0,264.16532,19.9,2.22038,0.47,-43.502115,172.710702,-0.394678,-0.131934,0.416145773,3.690328446,0.416145773,3.30709,0.77888,224.79766
2330,2349,0,342.1295453,19.9,1.70034,0.47,-43.501157,172.710728,-0.479553,-0.222315,0.528578319,3.783484973,0.528578319,2.9565,0.19143,228.87027
