
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2022-03-10


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, -1.0e-06
Magnitude Max:, 99999
Rrup Min (km):, -1.0e-06
Rrup Max (km):, 99999
Rjb Min (km):, -1.0e-06
Rjb Max (km):, 99999
Vs30 Min (m/sec):, -1.0e-06
Vs30 Max (m/sec):, 99999
D9-95 Min (sec):, -1.0e-06
D9-95 Max (sec):, 99999
Scale Factor Min:, -1.0e-06
Scale Factor Max:, 99999
Period Array:, 
Weight Array:, 
Record Sequence Number:, 
Earthquake Name:, Christchurch
Station Name:, 
User-Defined Maximum Number of Records:, 
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, No Scaling
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, SRSS
Fault Type:, All Types


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
70, SRSS, 8125, -, 1.0, -, 7.9, 13.6, 0.0, "Christchurch_ New Zealand", 2011, "RKAC", 6.2, Reverse Oblique, 57.0, 57.01, 295.74, 0.1, 1.0, RSN8125_CCHURCH_RKACN14E.AT2, RSN8125_CCHURCH_RKACS76E.AT2 , RSN8125_CCHURCH_RKACUP.AT2  
71, SRSS, 8126, -, 1.0, -, 3.9, 11.8, 0.1, "Christchurch_ New Zealand", 2011, "ROLC", 6.2, Reverse Oblique, 24.25, 24.25, 295.74, 0.075, 1.0, RSN8126_CCHURCH_ROLCS29E.AT2, RSN8126_CCHURCH_ROLCS61W.AT2 , RSN8126_CCHURCH_ROLCUP.AT2  
72, SRSS, 8127, -, 1.0, -, 6.6, 13.1, 0.0, "Christchurch_ New Zealand", 2011, "SBRC", 6.2, Reverse Oblique, 43.88, 44.24, 263.2, 0.1, 1.0, RSN8127_CCHURCH_SBRCS31E.AT2, RSN8127_CCHURCH_SBRCS59W.AT2 , RSN8127_CCHURCH_SBRCUP.AT2  
73, SRSS, 8128, -, 1.0, -, 10.8, 18.6, 0.1, "Christchurch_ New Zealand", 2011, "SCAC", 6.2, Reverse Oblique, 66.53, 66.53, 561.03, 0.05, 1.0, RSN8128_CCHURCH_SCACN10W.AT2, RSN8128_CCHURCH_SCACS80W.AT2 , RSN8128_CCHURCH_SCACUP.AT2  
74, SRSS, 8129, -, 1.0, -, 6.2, 14.4, 0.0, "Christchurch_ New Zealand", 2011, "SHFC", 6.2, Reverse Oblique, 55.74, 55.75, 358.58, 0.0875, 1.0, RSN8129_CCHURCH_SHFCN15W.AT2, RSN8129_CCHURCH_SHFCS75W.AT2 , RSN8129_CCHURCH_SHFCUP.AT2  
75, SRSS, 8130, -, 1.0, -, 4.3, 7.8, 2.1, "Christchurch_ New Zealand", 2011, "Shirley Library", 6.2, Reverse Oblique, 5.58, 5.6, 207.0, 0.075, 1.0, RSN8130_CCHURCH_SHLCS40W.AT2, RSN8130_CCHURCH_SHLCS50E.AT2 , RSN8130_CCHURCH_SHLCUP.AT2  
76, SRSS, 8131, -, 1.0, -, 16.6, 25.6, 0.0, "Christchurch_ New Zealand", 2011, "SJFS", 6.2, Reverse Oblique, 140.32, 140.32, 455.93, 0.1875, 1.0, RSN8131_CCHURCH_SJFSN18W.AT2, RSN8131_CCHURCH_SJFSS72W.AT2 , RSN8131_CCHURCH_SJFSUP.AT2  
77, SRSS, 8132, -, 1.0, -, 21.4, 44.2, 0.0, "Christchurch_ New Zealand", 2011, "SKFS", 6.2, Reverse Oblique, 310.25, 310.4, 263.18, 0.0375, 1.0, RSN8132_CCHURCH_SKFSS02E.AT2, RSN8132_CCHURCH_SKFSS88W.AT2 , RSN8132_CCHURCH_SKFSUP.AT2  
78, SRSS, 8133, -, 1.0, -, 7.2, 15.4, 0.2, "Christchurch_ New Zealand", 2011, "SLRC", 6.2, Reverse Oblique, 31.81, 31.81, 249.28, 0.0625, 1.0, RSN8133_CCHURCH_SLRCS28E.AT2, RSN8133_CCHURCH_SLRCS62W.AT2 , RSN8133_CCHURCH_SLRCUP.AT2  
79, SRSS, 8134, -, 1.0, -, 7.0, 14.5, 0.4, "Christchurch_ New Zealand", 2011, "Styx Mill Transfer Station ", 6.2, Reverse Oblique, 11.24, 11.25, 247.5, 0.05, 1.0, RSN8134_CCHURCH_SMTCN88W.AT2, RSN8134_CCHURCH_SMTCS02W.AT2 , RSN8134_CCHURCH_SMTCUP.AT2  
80, SRSS, 8135, -, 1.0, -, 19.4, 24.1, 0.0, "Christchurch_ New Zealand", 2011, "SOCS", 6.2, Reverse Oblique, 313.48, 313.48, 432.58, 0.0875, 1.0, RSN8135_CCHURCH_SOCSN82E.AT2, RSN8135_CCHURCH_SOCSS08E.AT2 , RSN8135_CCHURCH_SOCSUP.AT2  
81, SRSS, 8136, -, 1.0, -, 3.4, 8.9, 0.3, "Christchurch_ New Zealand", 2011, "SWNC", 6.2, Reverse Oblique, 25.45, 25.45, 295.74, 0.0375, 1.0, RSN8136_CCHURCH_SWNCN24E.AT2, RSN8136_CCHURCH_SWNCN66W.AT2 , RSN8136_CCHURCH_SWNCUP.AT2  
82, SRSS, 8137, -, 1.0, -, 31.5, 52.3, 0.0, "Christchurch_ New Zealand", 2011, "SYZ", 6.2, Reverse Oblique, 431.62, 431.73, 649.67, 0.05, 1.0, RSN8137_CCHURCH_SYZE.AT2, RSN8137_CCHURCH_SYZN.AT2 , RSN8137_CCHURCH_SYZUP.AT2  
83, SRSS, 8138, -, 1.0, -, 44.9, 62.9, 0.0, "Christchurch_ New Zealand", 2011, "TAFS", 6.2, Reverse Oblique, 444.91, 444.91, 454.9, 0.25, 1.0, RSN8138_CCHURCH_TAFSN37W.AT2, RSN8138_CCHURCH_TAFSS53W.AT2 , RSN8138_CCHURCH_TAFSUP.AT2  
84, SRSS, 8139, -, 1.0, -, 43.5, 51.2, 0.0, "Christchurch_ New Zealand", 2011, "TEPS", 6.2, Reverse Oblique, 299.08, 299.08, 399.61, 0.35, 1.0, RSN8139_CCHURCH_TEPSN12E.AT2, RSN8139_CCHURCH_TEPSS78E.AT2 , RSN8139_CCHURCH_TEPSUP.AT2  
85, SRSS, 8140, -, 1.0, -, 23.4, 27.4, 0.0, "Christchurch_ New Zealand", 2011, "TFSS", 6.2, Reverse Oblique, 300.74, 300.74, 485.04, 0.1625, 1.0, RSN8140_CCHURCH_TFSSN32E.AT2, RSN8140_CCHURCH_TFSSS58E.AT2 , RSN8140_CCHURCH_TFSSUP.AT2  
86, SRSS, 8141, -, 1.0, -, 17.9, 26.1, 0.0, "Christchurch_ New Zealand", 2011, "TMBS", 6.2, Reverse Oblique, 340.11, 340.25, 358.58, 0.2125, 1.0, RSN8141_CCHURCH_TMBSN09E.AT2, RSN8141_CCHURCH_TMBSN81W.AT2 , RSN8141_CCHURCH_TMBSUP.AT2  
87, SRSS, 8142, -, 1.0, -, 6.5, 16.2, 0.2, "Christchurch_ New Zealand", 2011, "TPLC", 6.2, Reverse Oblique, 16.6, 16.61, 249.28, 0.0875, 1.0, RSN8142_CCHURCH_TPLCN27W.AT2, RSN8142_CCHURCH_TPLCS63W.AT2 , RSN8142_CCHURCH_TPLCUP.AT2  
88, SRSS, 8143, -, 1.0, -, 10.1, 26.0, 0.0, "Christchurch_ New Zealand", 2011, "TRCS", 6.2, Reverse Oblique, 147.93, 148.24, 424.9, 0.1, 1.0, RSN8143_CCHURCH_TRCSN07E.AT2, RSN8143_CCHURCH_TRCSS83E.AT2 , RSN8143_CCHURCH_TRCSUP.AT2  
89, SRSS, 8144, -, 1.0, -, 16.9, 21.9, 0.0, "Christchurch_ New Zealand", 2011, "TSFS", 6.2, Reverse Oblique, 297.61, 297.61, 388.01, 0.25, 1.0, RSN8144_CCHURCH_TSFSS41E.AT2, RSN8144_CCHURCH_TSFSS49W.AT2 , RSN8144_CCHURCH_TSFSUP.AT2  
90, SRSS, 8145, -, 1.0, -, 25.1, 40.2, 0.0, "Christchurch_ New Zealand", 2011, "TUZ", 6.2, Reverse Oblique, 358.2, 358.34, 638.39, 0.0375, 1.0, RSN8145_CCHURCH_TUZE.AT2, RSN8145_CCHURCH_TUZN.AT2 , RSN8145_CCHURCH_TUZUP.AT2  
91, SRSS, 8146, -, 1.0, -, 15.1, 33.4, 0.0, "Christchurch_ New Zealand", 2011, "TWAS", 6.2, Reverse Oblique, 220.95, 220.95, 336.98, 0.2125, 1.0, RSN8146_CCHURCH_TWASN23E.AT2, RSN8146_CCHURCH_TWASN67W.AT2 , RSN8146_CCHURCH_TWASUP.AT2  
92, SRSS, 8147, -, 1.0, -, 9.8, 19.4, 0.1, "Christchurch_ New Zealand", 2011, "WAKC", 6.2, Reverse Oblique, 62.48, 62.48, 484.49, 0.075, 1.0, RSN8147_CCHURCH_WAKCN80E.AT2, RSN8147_CCHURCH_WAKCS10E.AT2 , RSN8147_CCHURCH_WAKCUP.AT2  
93, SRSS, 8148, -, 1.0, -, 33.7, 45.3, 0.0, "Christchurch_ New Zealand", 2011, "WBCS", 6.2, Reverse Oblique, 218.16, 218.16, 275.56, 0.0375, 1.0, RSN8148_CCHURCH_WBCSN08W.AT2, RSN8148_CCHURCH_WBCSN82E.AT2 , RSN8148_CCHURCH_WBCSUP.AT2  
94, SRSS, 8149, -, 1.0, -, 65.4, 104.1, 0.0, "Christchurch_ New Zealand", 2011, "WEL", 6.2, Reverse Oblique, 299.25, 299.25, 649.67, 0.0375, 1.0, RSN8149_CCHURCH_WELE.AT2, RSN8149_CCHURCH_WELN.AT2 , RSN8149_CCHURCH_WELUP.AT2  
95, SRSS, 8150, -, 1.0, -, 44.1, 64.7, 0.0, "Christchurch_ New Zealand", 2011, "WEMS", 6.2, Reverse Oblique, 300.67, 300.67, 432.58, 0.3375, 1.0, RSN8150_CCHURCH_WEMSN18W.AT2, RSN8150_CCHURCH_WEMSN72E.AT2 , RSN8150_CCHURCH_WEMSUP.AT2  
96, SRSS, 8151, -, 1.0, -, 9.4, 24.0, 0.0, "Christchurch_ New Zealand", 2011, "WIGC", 6.2, Reverse Oblique, 91.59, 91.59, 490.25, 0.0625, 1.0, RSN8151_CCHURCH_WIGCN15W.AT2, RSN8151_CCHURCH_WIGCN75E.AT2 , RSN8151_CCHURCH_WIGCUP.AT2  
97, SRSS, 8152, -, 1.0, -, 35.9, 59.2, 0.0, "Christchurch_ New Zealand", 2011, "WKZ", 6.2, Reverse Oblique, 324.53, 324.53, 638.39, 0.025, 1.0, RSN8152_CCHURCH_WKZE.AT2, RSN8152_CCHURCH_WKZN.AT2 , RSN8152_CCHURCH_WKZUP.AT2  
98, SRSS, 8153, -, 1.0, -, 32.5, 46.0, 0.0, "Christchurch_ New Zealand", 2011, "WNPS", 6.2, Reverse Oblique, 309.51, 309.51, 418.87, 0.0375, 1.0, RSN8153_CCHURCH_WNPSS07W.AT2, RSN8153_CCHURCH_WNPSS83E.AT2 , RSN8153_CCHURCH_WNPSUP.AT2  
99, SRSS, 8154, -, 1.0, -, 7.0, 12.6, 0.0, "Christchurch_ New Zealand", 2011, "WSFC", 6.2, Reverse Oblique, 91.34, 91.34, 344.02, 0.0625, 1.0, RSN8154_CCHURCH_WSFCN38W.AT2, RSN8154_CCHURCH_WSFCS52W.AT2 , RSN8154_CCHURCH_WSFCUP.AT2  
100, SRSS, 8155, -, 1.0, -, 19.6, 31.9, 0.0, "Christchurch_ New Zealand", 2011, "WTMC", 6.2, Reverse Oblique, 91.34, 91.34, 397.92, 0.0375, 1.0, RSN8155_CCHURCH_WTMCN28W.AT2, RSN8155_CCHURCH_WTMCS62W.AT2 , RSN8155_CCHURCH_WTMCUP.AT2  
101, SRSS, 8156, -, 1.0, -, 25.2, 40.5, 0.0, "Christchurch_ New Zealand", 2011, "WVAS", 6.2, Reverse Oblique, 166.11, 166.12, 469.44, 0.05, 1.0, RSN8156_CCHURCH_WVASN79W.AT2, RSN8156_CCHURCH_WVASS11W.AT2 , RSN8156_CCHURCH_WVASUP.AT2  

 These records were obtained from the NGA-West2 On-Line Ground-Motion Database Tool
 These records are UNSCALED, AS RECORDED
 Filename Extension: 
   ,AT2 = Acceleration
   ,VT2 = Velocity
   ,DT2 = Displacement
 The users of the NGA-West2 databases, flatfiles, models and reports are requested to acknowledge the Pacific Earthquake Engineering Research Center (PEER) in their work and publications.

 -- Scaled Spectra used in Search & Scaling --
Period (sec),Arithmetic Mean pSa (g),Arithmetic Mean + Sigma pSa (g),Arithmetic Mean - Sigma pSa (g),RSN-8056 SRSS pSa (g),RSN-8057 SRSS pSa (g),RSN-8058 SRSS pSa (g),RSN-8059 SRSS pSa (g),RSN-8060 SRSS pSa (g),RSN-8061 SRSS pSa (g),RSN-8062 SRSS pSa (g),RSN-8063 SRSS pSa (g),RSN-8064 SRSS pSa (g),RSN-8065 SRSS pSa (g),RSN-8066 SRSS pSa (g),RSN-8067 SRSS pSa (g),RSN-8068 SRSS pSa (g),RSN-8069 SRSS pSa (g),RSN-8070 SRSS pSa (g),RSN-8071 SRSS pSa (g),RSN-8072 SRSS pSa (g),RSN-8073 SRSS pSa (g),RSN-8074 SRSS pSa (g),RSN-8075 SRSS pSa (g),RSN-8076 SRSS pSa (g),RSN-8077 SRSS pSa (g),RSN-8078 SRSS pSa (g),RSN-8079 SRSS pSa (g),RSN-8080 SRSS pSa (g),RSN-8081 SRSS pSa (g),RSN-8082 SRSS pSa (g),RSN-8083 SRSS pSa (g),RSN-8084 SRSS pSa (g),RSN-8085 SRSS pSa (g),RSN-8086 SRSS pSa (g),RSN-8087 SRSS pSa (g),RSN-8088 SRSS pSa (g),RSN-8089 SRSS pSa (g),RSN-8090 SRSS pSa (g),RSN-8091 SRSS pSa (g),RSN-8092 SRSS pSa (g),RSN-8093 SRSS pSa (g),RSN-8094 SRSS pSa (g),RSN-8095 SRSS pSa (g),RSN-8096 SRSS pSa (g),RSN-8097 SRSS pSa (g),RSN-8098 SRSS pSa (g),RSN-8099 SRSS pSa (g),RSN-8100 SRSS pSa (g),RSN-8101 SRSS pSa (g),RSN-8102 SRSS pSa (g),RSN-8103 SRSS pSa (g),RSN-8104 SRSS pSa (g),RSN-8105 SRSS pSa (g),RSN-8106 SRSS pSa (g),RSN-8107 SRSS pSa (g),RSN-8108 SRSS pSa (g),RSN-8109 SRSS pSa (g),RSN-8110 SRSS pSa (g),RSN-8111 SRSS pSa (g),RSN-8112 SRSS pSa (g),RSN-8113 SRSS pSa (g),RSN-8114 SRSS pSa (g),RSN-8115 SRSS pSa (g),RSN-8116 SRSS pSa (g),RSN-8117 SRSS pSa (g),RSN-8118 SRSS pSa (g),RSN-8119 SRSS pSa (g),RSN-8120 SRSS pSa (g),RSN-8121 SRSS pSa (g),RSN-8122 SRSS pSa (g),RSN-8123 SRSS pSa (g),RSN-8124 SRSS pSa (g),RSN-8125 SRSS pSa (g),RSN-8126 SRSS pSa (g),RSN-8127 SRSS pSa (g),RSN-8128 SRSS pSa (g),RSN-8129 SRSS pSa (g),RSN-8130 SRSS pSa (g),RSN-8131 SRSS pSa (g),RSN-8132 SRSS pSa (g),RSN-8133 SRSS pSa (g),RSN-8134 SRSS pSa (g),RSN-8135 SRSS pSa (g),RSN-8136 SRSS pSa (g),RSN-8137 SRSS pSa (g),RSN-8138 SRSS pSa (g),RSN-8139 SRSS pSa (g),RSN-8140 SRSS pSa (g),RSN-8141 SRSS pSa (g),RSN-8142 SRSS pSa (g),RSN-8143 SRSS pSa (g),RSN-8144 SRSS pSa (g),RSN-8145 SRSS pSa (g),RSN-8146 SRSS pSa (g),RSN-8147 SRSS pSa (g),RSN-8148 SRSS pSa (g),RSN-8149 SRSS pSa (g),RSN-8150 SRSS pSa (g),RSN-8151 SRSS pSa (g),RSN-8152 SRSS pSa (g),RSN-8153 SRSS pSa (g),RSN-8154 SRSS pSa (g),RSN-8155 SRSS pSa (g),RSN-8156 SRSS pSa (g)
0.01,0.09494148,0.61783591,0.01458945,0.07974348,0.04475172,0.02449089,0.00162275,0.12043069,0.00350439,0.29412186,0.72055642,0.61426097,0.02692777,0.50441227,0.53969197,0.05578144,0.11332445,0.00449857,0.08179806,0.00381069,0.01676721,0.05706645,0.08227368,0.00378521,0.00742549,0.00248025,0.02636063,0.00654119,0.00492282,0.00201357,0.02894364,0.0112045,0.00732796,0.00927876,0.00400089,0.01309827,0.07792761,0.36910276,0.02078269,0.01462759,0.00671677,0.00710068,0.00236508,0.00376256,0.0112391,0.10696149,0.28724805,0.00332606,0.00182613,0.18313691,0.00422507,0.04944515,0.03133947,0.02999443,0.01147862,0.00119043,0.00390211,0.17915178,0.00103692,0.00071923,0.01101529,0.00689675,0.07165409,0.04486597,0.0018961,0.29132808,0.90204196,0.00068135,0.00873674,0.0077518,0.80609302,0.38186509,0.04737797,0.26283949,0.08393642,0.07339669,0.08356681,0.47220745,0.00751293,0.02160805,0.12785708,0.23224849,0.0018024,0.28414594,0.00146355,0.0041771,0.00098758,0.00154447,0.00693641,0.16350905,0.03652209,0.00284055,0.00269777,0.00781017,0.10961701,0.00759974,0.0012155,0.00115621,0.01981719,0.0021665,0.00821203,0.02789749,0.01576673,0.00800105
0.02,0.09921694,0.66964588,0.01470031,0.0806577,0.04516802,0.02458527,0.00163496,0.12141007,0.00354755,0.29950851,0.71958916,0.63349194,0.02700397,0.52681651,0.5687803,0.05615591,0.1147341,0.00453796,0.08207695,0.00382623,0.01683676,0.06178667,0.08274512,0.00381809,0.00749541,0.00250175,0.02656102,0.0065651,0.00495418,0.00202232,0.02903469,0.01131709,0.00733755,0.00929136,0.00401765,0.01330816,0.07825543,0.5263646,0.02083354,0.01468917,0.00675312,0.0072331,0.00238561,0.00379054,0.01131314,0.10724237,0.29154441,0.00335595,0.0018453,0.18490832,0.00426592,0.04962435,0.03142528,0.0309306,0.01152203,0.00120886,0.00393986,0.17988585,0.00104316,0.00072149,0.01116029,0.00694112,0.07202765,0.04529121,0.00192792,0.29200004,1.03089354,0.00068424,0.00877851,0.0078907,0.8127316,0.38249887,0.04775992,0.26615256,0.08434435,0.07377018,0.08430531,0.49207632,0.00752825,0.02166262,0.12963328,0.2375029,0.0020234,0.28724519,0.00147129,0.00418074,0.00099008,0.00159622,0.00700875,0.16688917,0.0375589,0.00285197,0.00273037,0.00782617,0.11034187,0.00764393,0.00122798,0.00116417,0.01987314,0.00217481,0.00822594,0.02812653,0.01589888,0.00809965
0.022,0.10068213,0.6840575,0.01481877,0.08106221,0.04516555,0.024679,0.0016398,0.12181234,0.00354425,0.29902022,0.73066947,0.63594541,0.02703736,0.53228751,0.58675639,0.056294,0.11595111,0.00455716,0.08214914,0.00386438,0.01686356,0.06296642,0.08260739,0.00386215,0.00750095,0.00258992,0.0266136,0.00656851,0.00495984,0.00201913,0.0290661,0.01134471,0.00734264,0.00930602,0.00402366,0.01337141,0.07845945,0.57685443,0.02085853,0.01467886,0.00676737,0.00721769,0.00240918,0.00376828,0.01133979,0.10750089,0.29215385,0.00338474,0.00184491,0.18643329,0.00429677,0.04971049,0.03144588,0.03135397,0.01154187,0.00121909,0.00395183,0.18461788,0.00104339,0.00072444,0.01124463,0.00704733,0.07401993,0.04529939,0.00192859,0.29259852,1.0431316,0.00069118,0.00876238,0.00788677,0.81442165,0.38339184,0.0494655,0.26668446,0.08548025,0.07392627,0.08449126,0.52001922,0.00757776,0.02170221,0.12955218,0.23824629,0.0019964,0.28908908,0.00146742,0.00417901,0.0009892,0.00158037,0.00701721,0.16392743,0.03755016,0.00285606,0.00281245,0.00782733,0.11040764,0.00767344,0.00126503,0.00117314,0.01987647,0.00219474,0.00822249,0.02813929,0.01595243,0.00811124
0.025,0.10106145,0.68412006,0.01492927,0.08137876,0.04543267,0.02471153,0.00164653,0.12262899,0.00357591,0.29835123,0.73733142,0.61831015,0.02708219,0.53630719,0.59252934,0.05631956,0.11676163,0.00456521,0.08264278,0.00387626,0.01685546,0.06510836,0.08429156,0.00378495,0.00753373,0.0025261,0.02669776,0.00657565,0.00496127,0.00203869,0.02914103,0.01136784,0.00734058,0.00931182,0.00402681,0.01353471,0.0786236,0.5430868,0.02088077,0.0148096,0.00679241,0.00716078,0.00242537,0.00377005,0.01140355,0.10727346,0.28906875,0.00331248,0.00183976,0.18836283,0.00435515,0.04974505,0.03149254,0.03280976,0.01155881,0.00121392,0.00397879,0.20591695,0.00103554,0.0007336,0.01129008,0.00726946,0.07264035,0.04562358,0.00189567,0.29368994,1.06136441,0.00070736,0.00878833,0.0078839,0.80901582,0.38694639,0.05088954,0.26990054,0.0852169,0.07385415,0.08476878,0.53420651,0.00757979,0.02174476,0.13049821,0.24217173,0.00187626,0.28577149,0.00146887,0.00417813,0.00099125,0.00157836,0.00699259,0.17224364,0.03727646,0.00285815,0.00275858,0.0078346,0.11033019,0.00764109,0.00131437,0.0011881,0.01989389,0.00221208,0.00822279,0.02828221,0.01601791,0.008131
0.029,0.10383382,0.71361763,0.01510818,0.08193409,0.04556607,0.02471516,0.00165574,0.12376469,0.00363053,0.29993703,0.76986812,0.67539428,0.02714563,0.55111549,0.66203675,0.05651778,0.12083467,0.00457491,0.08403191,0.00389064,0.01688432,0.06436112,0.08345278,0.00374615,0.00759238,0.00248691,0.02706238,0.00659411,0.00498223,0.00200575,0.02918865,0.01142404,0.00734956,0.00931934,0.00405781,0.01368917,0.07875222,0.55544916,0.02092465,0.01493266,0.00679709,0.00715588,0.00244233,0.00379198,0.01132572,0.10801892,0.29731087,0.00327965,0.00183276,0.19089302,0.00444288,0.04991957,0.03162415,0.03146785,0.01161619,0.00120322,0.00402434,0.20963254,0.00103054,0.00072065,0.01138954,0.00733689,0.07382595,0.04610052,0.00191371,0.29326712,1.07069871,0.00071051,0.00878273,0.00790901,0.82426708,0.38455097,0.0500779,0.27154933,0.08703897,0.07449039,0.08479182,0.56140959,0.00764297,0.0217803,0.13271338,0.24909947,0.00187989,0.28850366,0.00146649,0.00417768,0.00099691,0.00155517,0.00708019,0.17589373,0.03743556,0.00287183,0.00281409,0.00784299,0.11102022,0.00761089,0.00125663,0.0011759,0.01996939,0.00218909,0.00824793,0.02848732,0.01579749,0.00819668
0.03,0.10454665,0.71941511,0.0151929,0.08187893,0.04575801,0.02468213,0.00166589,0.12477969,0.00364194,0.30089979,0.78690237,0.68337423,0.02716619,0.55122083,0.66942539,0.05665568,0.1222863,0.00457486,0.08422033,0.0039058,0.01687998,0.06896559,0.08348864,0.0037663,0.00758923,0.00250493,0.02710578,0.00660575,0.00499435,0.00201674,0.02924076,0.01146015,0.00734717,0.00931846,0.00406877,0.01389697,0.07916222,0.55389524,0.02094156,0.01493027,0.00680738,0.00716628,0.0024064,0.00379697,0.01143131,0.10823625,0.29818786,0.00327431,0.0018431,0.18966684,0.00444941,0.04998114,0.03166686,0.03235131,0.01163552,0.00121281,0.00403236,0.210519,0.00102957,0.00072322,0.01141104,0.00736568,0.07525983,0.04586674,0.00192455,0.29322464,1.07450111,0.00070764,0.00877977,0.00791555,0.82677548,0.38776453,0.04901099,0.27194182,0.088509,0.07465432,0.08504577,0.56837745,0.00765291,0.0217845,0.13311484,0.25259555,0.00189387,0.29157437,0.00146868,0.00417769,0.00099962,0.00156336,0.00714521,0.17869139,0.03803838,0.00287075,0.0027865,0.0078516,0.11127141,0.00761112,0.00126856,0.00118705,0.01998741,0.00218812,0.00824694,0.02842474,0.01593665,0.00820983
0.032,0.10598503,0.73407802,0.01530195,0.08204877,0.04631907,0.02472337,0.0016705,0.12699813,0.00365277,0.30638115,0.79975614,0.66893676,0.0271825,0.54793352,0.68820493,0.05708853,0.12310711,0.0045894,0.08321591,0.00393201,0.01690171,0.07313114,0.08487675,0.00374299,0.0075812,0.00252365,0.02710677,0.00662922,0.00502105,0.00202344,0.02935936,0.01153319,0.00734508,0.00932424,0.00407468,0.0141284,0.07918465,0.59620829,0.02098142,0.01491751,0.00685365,0.00719273,0.00246938,0.00382258,0.01152167,0.10782178,0.30168131,0.00329307,0.00185479,0.18746431,0.0044192,0.04999918,0.03174688,0.03456771,0.01163468,0.00123229,0.00404137,0.20206502,0.00103029,0.00073268,0.01147508,0.00709696,0.07456076,0.04621813,0.00193397,0.29343226,1.09775411,0.00070576,0.00877404,0.00797153,0.83036143,0.3946616,0.05021291,0.2745953,0.08936548,0.0751009,0.08598801,0.59269847,0.00766731,0.02180192,0.13222015,0.2585602,0.0018922,0.29422077,0.0014698,0.00417779,0.00099926,0.00158866,0.00721745,0.18447384,0.0384078,0.00287352,0.00274919,0.00785939,0.11197565,0.00765623,0.00130673,0.00119547,0.01994869,0.00218577,0.00824499,0.02868715,0.01612958,0.00829216
0.035,0.10764081,0.75284491,0.01539035,0.08232879,0.04683621,0.02485779,0.00165867,0.13145854,0.00365295,0.31147537,0.84419427,0.69167813,0.02715184,0.56786353,0.7033447,0.05757566,0.12777804,0.00460958,0.08382493,0.00394646,0.01690885,0.07112657,0.0867698,0.00373822,0.00762594,0.00253904,0.02759676,0.00663247,0.00502367,0.00201596,0.02941202,0.01152251,0.0073537,0.00931506,0.00405268,0.01477541,0.0791013,0.66859475,0.02102946,0.01485943,0.00694959,0.00719624,0.00248876,0.00380994,0.01164138,0.10772646,0.29953131,0.00330515,0.00185176,0.18549895,0.00449084,0.050056,0.03171987,0.03667239,0.01162871,0.00123494,0.00408878,0.18933396,0.00103011,0.00072894,0.01168179,0.00678773,0.07283355,0.04704747,0.00190412,0.29444654,1.09396039,0.00069626,0.00883414,0.00813397,0.82975004,0.39684861,0.05136671,0.28107767,0.08839299,0.07505646,0.08624336,0.57407008,0.00770385,0.02185985,0.1329495,0.25964992,0.001933,0.29279961,0.00147048,0.00417765,0.00100113,0.0015822,0.00724652,0.18817708,0.0368923,0.00289371,0.00272431,0.00784572,0.11243507,0.00771957,0.00131788,0.00119701,0.0198694,0.00218707,0.00822818,0.02888833,0.01622494,0.00840238
0.036,0.10861968,0.7747941,0.01522758,0.08203126,0.0471155,0.02491422,0.00166911,0.13191617,0.00365656,0.31218242,0.85658002,0.69456696,0.02716,0.57786473,0.70447422,0.05746582,0.12607467,0.00463044,0.08450599,0.00395852,0.01692106,0.07156681,0.08704336,0.0037429,0.00764987,0.00251762,0.02808958,0.00663588,0.00501485,0.00201917,0.02940541,0.01146489,0.00736236,0.00931731,0.00405712,0.01513408,0.07924591,0.68168636,0.02105937,0.0148474,0.0069811,0.00719663,0.00253473,0.00381198,0.01157993,0.10800048,0.29765537,0.00330625,0.0018509,0.19096036,0.00457576,0.05012174,0.03180454,0.03705093,0.01165871,0.00123508,0.00411031,0.18568045,0.00103083,0.00072782,0.01173215,0.00676452,0.07244924,0.04738113,0.00191128,0.29481062,1.15922282,0.0006975,0.00884309,0.00824708,0.8338001,0.39412986,0.05174317,0.28299925,0.08890696,0.0754329,0.08634944,0.56150448,0.00768061,0.02186129,0.13285142,0.26121262,0.00194902,0.29099443,0.00146899,0.00417774,0.00100346,0.00157876,0.00723758,0.18685639,0.0371323,0.00289672,0.00271518,0.00784963,0.11259092,0.00774734,0.00131536,0.00119687,0.0198713,0.00218798,0.00822642,0.02879973,0.01627911,0.0085596
