
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2022-03-15


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, -1.0e-06
Magnitude Max:, 99999
Rrup Min (km):, -1.0e-06
Rrup Max (km):, 99999
Rjb Min (km):, -1.0e-06
Rjb Max (km):, 99999
Vs30 Min (m/sec):, -1.0e-06
Vs30 Max (m/sec):, 99999
D9-95 Min (sec):, -1.0e-06
D9-95 Max (sec):, 99999
Scale Factor Min:, -1.0e-06
Scale Factor Max:, 99999
Period Array:, 
Weight Array:, 
Record Sequence Number:, 
Earthquake Name:, Darfield
Station Name:, 
User-Defined Maximum Number of Records:, 
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, No Scaling
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, SRSS
Fault Type:, All Types


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
7.0,0.03372034,0.19092264,0.00595561,0.03375676,0.00030876,0.00479268,0.00045708,0.00099042,0.2188967,0.09844012,0.07114392,0.08638154,0.05532603,0.0094022,0.00306616,0.06956019,0.00067591,0.00184705,0.03193422,0.18516099,0.00279775,0.0023701,2.238e-05,0.00486409,0.00651665,0.00640803,0.00036643,0.00663903,0.16720592,0.00521148,0.00912311,0.00479917,0.00800859,0.14892848,0.03798127,0.01787997,0.00072789,0.03876546,0.00723819,0.00310206,0.00038648,0.01182307,0.0180606,0.00571846,0.12784894,0.00357461,0.00395347,0.00044378,0.14598813,0.03312255,0.00525776,0.01286708,0.01182638,0.00069059,0.02869421,0.0046841,0.00587173,0.0036272,0.00776443,0.00206612,0.00405731,0.0025238,0.00991115,0.08127971,0.00817361,0.00395255,0.00276915,0.00242113,0.00097692,0.0165266,0.00578088,0.00438649,0.00046962,0.16048568,0.07925778,0.0012246,0.00171595,0.00270355,0.00231101,0.00404925,0.09904351,0.13212316,0.02984797,0.18682543,0.00986359,0.00030121,0.09001531,0.10518664,0.00657329,0.00190283,0.17501496,0.00364368,0.01224098,0.00130212,0.00437647,0.00112967,0.31279609,0.01770441,0.00378538,0.0012531,0.00627611,0.02074339,0.00242388,0.00103832
7.5,0.0302414,0.16406512,0.00557426,0.02930779,0.00023338,0.00382948,0.00038004,0.00103469,0.18333765,0.09282575,0.07125358,0.08269817,0.05523709,0.00767929,0.00272243,0.05262052,0.00055573,0.00176164,0.02766435,0.15879905,0.00327022,0.00168484,1.917e-05,0.0042088,0.00721664,0.00710077,0.00034082,0.00649435,0.14035544,0.00427665,0.00976514,0.00547402,0.00703406,0.12787324,0.02914974,0.0171915,0.0005278,0.03722073,0.0077975,0.0022299,0.00030003,0.01170143,0.01762538,0.00490725,0.11887575,0.00295413,0.00408366,0.00036916,0.12602291,0.03241271,0.00581207,0.01268102,0.01184648,0.00049235,0.02111651,0.00489988,0.00568592,0.00339364,0.00842919,0.00179446,0.0049278,0.00265404,0.00948451,0.07405324,0.00803628,0.00435172,0.00312104,0.00238332,0.0009649,0.01405759,0.00485365,0.00426119,0.00034258,0.15537941,0.07575479,0.00141843,0.00155019,0.00257913,0.00211864,0.00333767,0.09823887,0.12205475,0.02609975,0.1640912,0.00962365,0.00027106,0.07468088,0.09722308,0.0057202,0.00187299,0.15785157,0.00374439,0.01055751,0.00131015,0.00433205,0.00120355,0.26295762,0.01443683,0.0039695,0.0012503,0.00584543,0.02178084,0.00221201,0.00084716
8.0,0.0264028,0.13709677,0.00508479,0.02433888,0.00018003,0.00346773,0.0003239,0.00127505,0.15016189,0.08013265,0.06769474,0.07515688,0.05227066,0.00671617,0.00224252,0.04285312,0.00046258,0.00156783,0.02314191,0.13215471,0.00361852,0.00128156,1.667e-05,0.00379179,0.00735347,0.00683451,0.00028255,0.00629736,0.12514517,0.00369465,0.00963503,0.00565241,0.00678503,0.10829487,0.02352895,0.01584607,0.0004119,0.03636827,0.00956954,0.00192656,0.00022388,0.00979509,0.01469294,0.00464551,0.10270898,0.00203164,0.00330783,0.00033869,0.11112771,0.03181378,0.00611071,0.01281168,0.01297499,0.00042065,0.01320486,0.00488352,0.00496678,0.00247173,0.00819862,0.00174109,0.00541426,0.00252642,0.00907123,0.07452502,0.00792658,0.00446835,0.00288421,0.00228364,0.00095631,0.0126959,0.00400152,0.00336371,0.00027535,0.13553815,0.06563593,0.00137973,0.00129113,0.00267135,0.00193039,0.00305678,0.08488213,0.10835605,0.02155299,0.14173892,0.0086809,0.00023057,0.06125922,0.09230276,0.00550941,0.00184684,0.13701209,0.00339589,0.00924327,0.0012352,0.00315585,0.00092625,0.21004898,0.01086593,0.0040429,0.00119536,0.0049401,0.02031414,0.002429,0.00067562
8.5,0.02303622,0.11495607,0.00461626,0.02073643,0.00013814,0.00300367,0.00028239,0.00159508,0.12213879,0.07103023,0.06149709,0.07004603,0.04705311,0.00600808,0.0018064,0.03743736,0.00039966,0.00158841,0.0197711,0.11433042,0.0035619,0.00135277,1.44e-05,0.00352965,0.00706071,0.00668846,0.00023348,0.0066085,0.11303991,0.0033799,0.00950819,0.00534653,0.00668797,0.09327446,0.02019054,0.01399294,0.00036207,0.03440351,0.01201542,0.00184326,0.00020986,0.0088749,0.01140322,0.00475167,0.08275343,0.00179101,0.00260565,0.00027976,0.09546668,0.02996255,0.00588087,0.01215569,0.01333379,0.00031714,0.00894864,0.004427,0.00415673,0.00219626,0.00769697,0.00173099,0.00578163,0.00235144,0.00864149,0.07128337,0.00773075,0.00416896,0.0025457,0.00226954,0.00093669,0.01183193,0.00308039,0.00252441,0.00022082,0.11438975,0.05697807,0.0012414,0.00117223,0.00266107,0.00163821,0.00271347,0.0734111,0.09700034,0.01731678,0.1210039,0.00788486,0.00019973,0.05128645,0.08200953,0.00578664,0.00185184,0.11296723,0.00287582,0.00847441,0.00128079,0.00245709,0.00093214,0.17367831,0.01039478,0.00419696,0.00106773,0.00425169,0.01809059,0.00262604,0.00055188
9.0,0.01989615,0.09512327,0.00416152,0.01709999,0.00011237,0.00262129,0.00024917,0.00177578,0.09765175,0.06377642,0.05484872,0.06335895,0.0405471,0.00538399,0.00157614,0.03184379,0.00034569,0.00164188,0.01708054,0.0977415,0.00362837,0.00134803,1.259e-05,0.003415,0.00641024,0.00615003,0.00019876,0.0063544,0.10220091,0.00328278,0.00907359,0.00485793,0.00631073,0.07827625,0.01717999,0.01259357,0.00032044,0.03111405,0.01376571,0.00169736,0.00020368,0.00804695,0.00953444,0.00461146,0.06665953,0.00160789,0.00273964,0.0002182,0.08017224,0.02752008,0.00537752,0.010777,0.0132197,0.00024234,0.00801232,0.00389021,0.00333869,0.00240243,0.00705649,0.00162398,0.00585243,0.00205303,0.00803505,0.06314704,0.00739546,0.00373592,0.00252958,0.00228057,0.00094492,0.01132585,0.00228483,0.00279067,0.0001804,0.09488897,0.05258203,0.00097808,0.00112389,0.00249817,0.00135891,0.00295204,0.06345937,0.08253269,0.01351092,0.10308723,0.00688443,0.00015379,0.04228651,0.07112906,0.00623588,0.00172743,0.09435148,0.00274682,0.00763277,0.0013346,0.00266034,0.00095191,0.13996065,0.00894801,0.00427768,0.00100889,0.00361734,0.01578791,0.00273113,0.00045625
9.5,0.01717595,0.07910764,0.00372926,0.01398224,9.669e-05,0.00292184,0.00022082,0.00176292,0.07984382,0.05628448,0.0478034,0.05512529,0.03548047,0.0049639,0.00143721,0.02614822,0.00030312,0.00160263,0.01601863,0.08291738,0.00361644,0.00129502,1.111e-05,0.00323334,0.0059585,0.00565849,0.00016741,0.00574111,0.09222333,0.00327436,0.0082966,0.00438139,0.00575284,0.06411851,0.01454763,0.01133184,0.00027002,0.02784665,0.01474691,0.00174732,0.00017526,0.00699207,0.00866885,0.00432389,0.05117374,0.00167216,0.00272583,0.00018587,0.06918173,0.02511297,0.0048472,0.00899741,0.01296341,0.00020499,0.00754999,0.00334405,0.00275065,0.00253654,0.00653011,0.00159989,0.00553658,0.00173004,0.00741812,0.05348208,0.00680011,0.00332522,0.00265639,0.00223031,0.00087282,0.0110677,0.00193536,0.00278196,0.00014575,0.07900731,0.04815048,0.00067837,0.00108448,0.00238305,0.00115501,0.00333208,0.05698575,0.06781862,0.01128655,0.09105171,0.00577757,0.00012391,0.03489898,0.0587359,0.00678287,0.00172029,0.07908831,0.00273989,0.00721396,0.00137425,0.00278561,0.00103878,0.11387926,0.00759154,0.00439852,0.00105525,0.00295268,0.0136471,0.00299447,0.00038737
10.0,0.01495945,0.06722599,0.00332885,0.01192435,8.635e-05,0.00318032,0.00019654,0.00167928,0.06698573,0.04902395,0.04173252,0.04713992,0.03217407,0.0047726,0.00138286,0.02097679,0.0002664,0.00166347,0.01514442,0.07037321,0.00355907,0.00126611,1.011e-05,0.00299131,0.00531079,0.00501648,0.00014101,0.00496225,0.08270264,0.00321905,0.00742191,0.00387176,0.0050326,0.05461214,0.01235395,0.00992954,0.00022868,0.02488752,0.01534904,0.00170033,0.00014778,0.00588692,0.00743245,0.0040341,0.03977066,0.00163723,0.00254087,0.00015778,0.06103871,0.02265831,0.00423,0.00714421,0.01255187,0.00018551,0.00637895,0.00304578,0.00223729,0.00238352,0.00588959,0.0017116,0.0053525,0.00149918,0.0070976,0.04475792,0.0064371,0.00293063,0.00272891,0.00224738,0.00082482,0.01060094,0.00174488,0.00256153,0.00012279,0.06463543,0.0428965,0.00058004,0.00107088,0.00235241,0.00095254,0.00370961,0.04967215,0.05845435,0.0097519,0.08197766,0.0052376,0.00011259,0.02950071,0.04984984,0.0069148,0.00168419,0.06526222,0.00259718,0.00651359,0.00136463,0.00265774,0.00111873,0.09772005,0.00721701,0.00457342,0.00115901,0.00257857,0.01217768,0.00303668,0.00033641
11.0,0.01155115,0.05041426,0.00264665,0.00794641,6.831e-05,0.0030309,0.00015864,0.00136656,0.04812696,0.03684751,0.0309717,0.03452499,0.02446959,0.00422525,0.00126451,0.01469552,0.00021263,0.00148571,0.01224195,0.05550421,0.00337712,0.00125702,8.51e-06,0.00255215,0.00408187,0.00426119,0.00011603,0.00395081,0.06646666,0.00294485,0.00605611,0.0028781,0.00367852,0.04240657,0.00925104,0.00815177,0.00018132,0.0192107,0.01384145,0.00158861,0.00011188,0.00417407,0.00475206,0.00326477,0.02738404,0.00165178,0.00184637,0.00012525,0.04714371,0.01796285,0.00316012,0.0055696,0.01081019,0.00015776,0.00499165,0.0024127,0.0016951,0.00205375,0.00460242,0.0015454,0.00484677,0.0010542,0.00580773,0.03455182,0.00541949,0.00207437,0.00248669,0.00197659,0.00085312,0.00892264,0.00144261,0.0019173,0.00011563,0.04938041,0.03289393,0.00069231,0.0011237,0.00210686,0.00071901,0.00419145,0.03730388,0.0435128,0.00733551,0.06553051,0.00391667,9.052e-05,0.02166596,0.03960861,0.00659135,0.0015818,0.04724653,0.00209071,0.00614708,0.00145977,0.00214031,0.00117905,0.07082183,0.0060508,0.00457492,0.00116501,0.00209249,0.01002933,0.00286975,0.00026716
12.0,0.00906977,0.03850594,0.00213631,0.00540925,5.267e-05,0.00265417,0.00013076,0.00104053,0.03668298,0.02675033,0.02449377,0.02753983,0.01914322,0.00371099,0.00110791,0.01136075,0.0001724,0.00138381,0.01057671,0.0455903,0.00320846,0.00121742,6.89e-06,0.00204887,0.00342025,0.00346763,9.324e-05,0.00315123,0.05283449,0.00242628,0.00443364,0.00220524,0.00317501,0.03216305,0.0073641,0.0065131,0.00014843,0.01468322,0.01077267,0.00134277,9.01e-05,0.0037249,0.00374094,0.00248706,0.01950051,0.00143416,0.00154287,0.00010385,0.03857803,0.01401489,0.00240009,0.00473136,0.00904565,0.0001299,0.00344008,0.00182178,0.0013966,0.00190459,0.00395689,0.00134706,0.00407758,0.0007876,0.00480362,0.02678744,0.00452627,0.00168114,0.00232446,0.00184745,0.0009173,0.00711851,0.00116632,0.00162228,9.326e-05,0.03882259,0.02492798,0.00069793,0.00102889,0.00172313,0.00049624,0.00411651,0.02815531,0.0319365,0.00565688,0.05183746,0.00284582,7.178e-05,0.01710238,0.03095376,0.00588988,0.00153361,0.03583884,0.0016675,0.0063849,0.00137805,0.00203394,0.00107921,0.05140727,0.00516355,0.00405095,0.00114762,0.00156211,0.00800306,0.00269481,0.00021748
13.0,0.00725442,0.03019419,0.00174294,0.0037654,4.241e-05,0.00237635,0.00010944,0.00075844,0.02996694,0.02072851,0.01937647,0.02214588,0.0148088,0.00327213,0.00089463,0.00890264,0.00014303,0.00136605,0.00874035,0.03764584,0.0029848,0.00101858,5.9e-06,0.00162656,0.00297734,0.00286433,7.637e-05,0.00274011,0.04181741,0.0021693,0.00348824,0.00176946,0.0025853,0.02449349,0.00608801,0.00510052,0.00012275,0.01149638,0.00848359,0.00111845,7.105e-05,0.00279437,0.00335519,0.00212667,0.0152745,0.00131101,0.00153715,8.459e-05,0.03128484,0.01080864,0.00199473,0.00382231,0.00770731,0.00010377,0.00251327,0.00156024,0.00112345,0.00168821,0.00337802,0.00116685,0.00326364,0.00060421,0.00370113,0.02066842,0.00364346,0.00126558,0.00222304,0.00169532,0.0008223,0.00588444,0.00092541,0.00165724,7.927e-05,0.03067648,0.01930635,0.00067969,0.00093914,0.00166016,0.00038407,0.00360672,0.02108073,0.02434373,0.00447822,0.04050715,0.00216053,6.267e-05,0.01410887,0.0242041,0.00505996,0.00144133,0.02745435,0.00142832,0.0058401,0.00123552,0.00181952,0.00096635,0.04151707,0.0045191,0.00338155,0.00105843,0.00123849,0.00660527,0.00254296,0.00017933
14.0,0.00593381,0.02469694,0.00142568,0.00291108,3.618e-05,0.00202686,9.291e-05,0.00059598,0.02449537,0.01679799,0.01540274,0.01799186,0.0123955,0.00308482,0.0007226,0.00716659,0.00012103,0.00124889,0.00717268,0.03139827,0.00261691,0.00089592,5.06e-06,0.0014775,0.00250224,0.00230467,6.352e-05,0.00231275,0.03729033,0.00182516,0.00293248,0.00135599,0.00212042,0.02030938,0.00511071,0.00422562,0.00010421,0.00933051,0.00649373,0.00100166,5.763e-05,0.00189046,0.00247187,0.00193562,0.01223955,0.0011452,0.00123193,6.968e-05,0.02512879,0.00896948,0.00167187,0.00305084,0.00658171,8.81e-05,0.00205631,0.00128727,0.00086599,0.00140377,0.00267243,0.00098792,0.00282171,0.00045834,0.00287515,0.01566683,0.00276554,0.00104025,0.0020447,0.00151686,0.00074367,0.00497923,0.0007408,0.00128418,6.521e-05,0.02426603,0.0157754,0.00060962,0.00076597,0.00150783,0.00029585,0.00307006,0.01725056,0.02010283,0.00363636,0.031393,0.00179887,5.324e-05,0.01178861,0.01903203,0.00424054,0.00117838,0.02149434,0.00113342,0.00505453,0.00104578,0.0013856,0.00089159,0.03423458,0.00356381,0.00288253,0.00092494,0.00099222,0.00577841,0.00226623,0.00015214
15.0,0.00492434,0.0205349,0.00118087,0.00234861,3.138e-05,0.00164103,7.997e-05,0.00046742,0.01981322,0.01372514,0.01316793,0.01479449,0.01054563,0.00274187,0.00060846,0.00592078,0.00010426,0.00110713,0.00572792,0.02644715,0.00221251,0.00075547,4.23e-06,0.00138079,0.00205934,0.00195564,5.35e-05,0.0019924,0.03307427,0.00151177,0.00247715,0.00117154,0.00165838,0.01681267,0.00432512,0.003589,8.994e-05,0.0075328,0.00520993,0.00091901,4.849e-05,0.001458,0.00181213,0.00176429,0.00994298,0.00090278,0.0010537,6.074e-05,0.02050517,0.00749921,0.00151641,0.00245912,0.00549796,7.53e-05,0.00173949,0.00103574,0.00071125,0.00129719,0.00209157,0.00084416,0.00241079,0.00039236,0.00248616,0.0124854,0.00231154,0.00090634,0.00184061,0.00137409,0.0006804,0.00413131,0.00060994,0.00108749,4.986e-05,0.01922753,0.01291064,0.00052463,0.00062185,0.00128743,0.00023088,0.0026225,0.01417358,0.01681004,0.00302045,0.02543151,0.00140713,4.313e-05,0.00983696,0.01505649,0.00363279,0.00108062,0.01786364,0.00099857,0.00418801,0.00094418,0.00130934,0.00079391,0.02838104,0.00276552,0.00241969,0.0008442,0.00073309,0.00494452,0.00198403,0.00013061
20.0,0.00238906,0.01025045,0.00055681,0.00101646,1.645e-05,0.00077233,4.364e-05,0.00015219,0.00895256,0.00691018,0.00677283,0.00712602,0.0048662,0.00142444,0.00026347,0.00294574,5.693e-05,0.0006028,0.00257503,0.01235581,0.0011818,0.00031577,2.64e-06,0.00070798,0.00104508,0.00111474,2.731e-05,0.00088409,0.01836429,0.00061285,0.0013481,0.00059603,0.00080613,0.00763733,0.0022282,0.00189742,4.866e-05,0.00334729,0.00188442,0.00038701,2.437e-05,0.00075566,0.00095845,0.00075002,0.00439022,0.00042763,0.00045582,3.245e-05,0.00971778,0.00328203,0.00068264,0.00112519,0.00243523,4.014e-05,0.00086209,0.00062674,0.0004671,0.00054108,0.00087667,0.00036657,0.00104439,0.00029151,0.00102561,0.00653563,0.00107841,0.00049872,0.00090136,0.00066912,0.00045769,0.00233064,0.00031124,0.00047626,2.872e-05,0.00846819,0.00659373,0.00038698,0.00025405,0.00051873,9.913e-05,0.00140345,0.00733598,0.00767142,0.00143929,0.01408985,0.00086523,2.604e-05,0.00416085,0.00763818,0.00171358,0.0006117,0.00898649,0.00042453,0.00254022,0.00049262,0.00052805,0.00042586,0.01237898,0.0013065,0.00107002,0.00044758,0.00043382,0.00215277,0.00100279,7.075e-05

 -- Unscaled Horizontal & Vertical Spectra, as recorded --
